t,vout,dctrl
0.001504,5.636902,5.947998
0.001506,5.641346,5.947998
0.001508,5.648324,5.947998
0.001510,5.657824,5.947998
0.001512,5.667048,5.947998
0.001514,5.673709,5.947998
0.001516,5.677810,5.947998
0.001518,5.679354,5.947998
0.001520,5.678346,5.951998
0.001522,5.677582,5.951998
0.001524,5.679348,5.951998
0.001526,5.683635,5.951998
0.001528,5.690438,5.951998
0.001530,5.699748,5.951998
0.001532,5.708766,5.951998
0.001534,5.715204,5.951998
0.001536,5.719066,5.951998
0.001538,5.720355,5.951998
0.001540,5.719076,5.955998
0.001542,5.718025,5.955998
0.001544,5.719488,5.955998
0.001546,5.723457,5.955998
0.001548,5.729927,5.955998
0.001550,5.738890,5.955998
0.001552,5.747545,5.955998
0.001554,5.753605,5.955998
0.001556,5.757075,5.955998
0.001558,5.757957,5.955998
0.001560,5.756257,5.959998
0.001562,5.754772,5.959998
0.001564,5.755786,5.959998
0.001566,5.759293,5.959998
0.001568,5.765287,5.959998
0.001570,5.773760,5.959998
0.001572,5.781913,5.959998
0.001574,5.787459,5.959998
0.001576,5.790402,5.959998
0.001578,5.790746,5.959998
0.001580,5.788494,5.963998
0.001582,5.786446,5.963998
0.001584,5.786886,5.963998
0.001586,5.789809,5.963998
0.001588,5.795206,5.963998
0.001590,5.803072,5.963998
0.001592,5.810606,5.963998
0.001594,5.815524,5.963998
0.001596,5.817829,5.963998
0.001598,5.817523,5.963998
0.001600,5.814615,5.967999
0.001602,5.811902,5.967999
0.001604,5.811666,5.967999
0.001606,5.813903,5.967999
0.001608,5.818609,5.967999
0.001610,5.825775,5.967999
0.001612,5.832602,5.967999
0.001614,5.836805,5.967999
0.001616,5.838387,5.967999
0.001618,5.837352,5.967999
0.001620,5.833708,5.971999
0.001622,5.830252,5.971999
0.001624,5.829268,5.971999
0.001626,5.830752,5.971999
0.001628,5.834700,5.971999
0.001630,5.841103,5.971999
0.001632,5.847162,5.971999
0.001634,5.850593,5.971999
0.001636,5.851398,5.971999
0.001638,5.849584,5.971999
0.001640,5.845156,5.975999
0.001642,5.840914,5.975999
0.001644,5.839141,5.975999
0.001646,5.839835,5.975999
0.001648,5.842988,5.975999
0.001650,5.848596,5.975999
0.001652,5.853858,5.975999
0.001654,5.856491,5.975999
